,模型,ζ,mae,mse,rmse,R2,mean_n,var_n
32,GRU+GRUCNN+LSTM+LSTMCNN+,5,2.3984205349580354,19.177995044413755,4.379268779649607,0.8984272779249406,-0.12499561404182952,19.162371140884062
33,GRU+GRUCNN+LSTM+LSTMCNN+,10,2.378259505836911,18.825379067778794,4.338822313460047,0.9003610194165229,-0.14676248655530436,18.803839840318897
34,GRU+GRUCNN+LSTM+LSTMCNN+,15,2.38067060270837,19.339772530818177,4.3977008232505055,0.8977808068354919,-0.15278923039376668,19.31642798189386
35,GRU+GRUCNN+LSTM+LSTMCNN+,20,2.3860371322718863,19.341535934212793,4.397901310194761,0.8979074865243389,-0.16504099699216263,19.314297403524623
36,GRU+GRUCNN+LSTM+LSTMCNN+,5,2.3993316518257406,19.227451273400213,4.384911774870757,0.8981653421078706,-0.12232967202133391,19.212486724743368
37,GRU+GRUCNN+LSTM+LSTMCNN+,10,2.378938079035623,18.86110268811031,4.342937103863043,0.9001719414117842,-0.1447946060495971,18.840137210169253
38,GRU+GRUCNN+LSTM+LSTMCNN+,15,2.3860275964475783,19.430239126557595,4.407974492503058,0.8973026511379475,-0.1541042983967863,19.40649099177323
39,GRU+GRUCNN+LSTM+LSTMCNN+,20,2.3860092318858452,19.33982528892709,4.397706821620456,0.8979165160076993,-0.16506023475816511,19.312580407828673
40,GRU+GRUCNN+LSTM+LSTMCNN+,5,2.39986655975003,19.256916988594515,4.388270386905815,0.8980092823689227,-0.1234172637860708,19.241685167594074
41,GRU+GRUCNN+LSTM+LSTMCNN+,10,2.381356072791054,18.942164210115983,4.352259667128787,0.8997428989267373,-0.14736405389710774,18.920448045734993
42,GRU+GRUCNN+LSTM+LSTMCNN+,15,2.385506364824854,19.436241644280447,4.408655310214266,0.8972709251950696,-0.15308266805258403,19.41280734102235
43,GRU+GRUCNN+LSTM+LSTMCNN+,20,2.3831662748771705,19.29390388663057,4.392482656383582,0.898158907894193,-0.16620331275884984,19.266280345458554
44,GRU+GRUCNN+LSTM+LSTMCNN+,5,2.398002243888744,19.238317479570785,4.386150644878808,0.8981077912462285,-0.12278440681127928,19.22324146901479
45,GRU+GRUCNN+LSTM+LSTMCNN+,10,2.381307207409434,18.946559308943844,4.352764559328226,0.8997196365443335,-0.14863672984381227,18.924466431485186
46,GRU+GRUCNN+LSTM+LSTMCNN+,15,2.38604713192478,19.436234281386273,4.408654475164307,0.8972709641111996,-0.153359302481159,19.412715205728766
47,GRU+GRUCNN+LSTM+LSTMCNN+,20,2.3837930112716252,19.29626426209941,4.392751331694,0.8981464488699883,-0.16593755358656595,19.26872899040912
48,GRU+GRUCNN+LSTM+LSTMCNN+,5,2.3985827597868457,19.246516664765256,4.387085212845228,0.8980643657704647,-0.1216212152417054,19.231724944768388
49,GRU+GRUCNN+LSTM+LSTMCNN+,10,2.380728610817257,18.941727788201906,4.352209529446153,0.8997452088209746,-0.1487302529938653,18.91960710004629
50,GRU+GRUCNN+LSTM+LSTMCNN+,15,2.3861583490922076,19.441577726715607,4.409260451222586,0.8972427216554306,-0.153106974194159,19.418135981168717
51,GRU+GRUCNN+LSTM+LSTMCNN+,20,2.3827437836972223,19.280598025339252,4.390967777761442,0.8982291416557624,-0.16704726854827442,19.252693235409815
52,GRU+GRUCNN+LSTM+LSTMCNN+,5,2.399671438005805,19.25744371082372,4.388330401282897,0.8980064926815507,-0.1223098168983478,19.242484019514006
53,GRU+GRUCNN+LSTM+LSTMCNN+,10,2.3805957398686157,18.940097582293983,4.35202224055599,0.8997538371760384,-0.1481692186837828,18.91814346492862
54,GRU+GRUCNN+LSTM+LSTMCNN+,15,2.3850716660982423,19.423641820409973,4.407226091365176,0.8973375207989218,-0.15383608163178544,19.399976280398146
55,GRU+GRUCNN+LSTM+LSTMCNN+,20,2.3816836378858484,19.26394915367102,4.3890715594156156,0.898317021189266,-0.16794365518318274,19.235744082354735
56,GRU+GRUCNN+LSTM+LSTMCNN+,5,2.399923351857532,19.26616900281649,4.389324435812018,0.8979602807779313,-0.12106543175705232,19.251512164049966
57,GRU+GRUCNN+LSTM+LSTMCNN+,10,2.3808202133124445,18.953882705905414,4.353605713188255,0.8996808752633505,-0.14765412145128093,18.932080966323866
58,GRU+GRUCNN+LSTM+LSTMCNN+,15,2.3846240495257716,19.404752224243193,4.405082544543654,0.8974373606122544,-0.1544788439889045,19.380888511003047
59,GRU+GRUCNN+LSTM+LSTMCNN+,20,2.381549243681904,19.24709882493276,4.387151561655098,0.8984059640953327,-0.1683531786858741,19.218756032159124
60,GRU+GRUCNN+LSTM+LSTMCNN+,5,2.400330887454093,19.267142847808728,4.389435367767559,0.8979551229871137,-0.12107606371485093,19.25248343460404
61,GRU+GRUCNN+LSTM+LSTMCNN+,10,2.3808233374985304,18.95345151212559,4.353556191451489,0.8996831574861148,-0.14746298863224863,18.931706179109234
62,GRU+GRUCNN+LSTM+LSTMCNN+,15,2.3846523948746428,19.404116199195236,4.405010351769362,0.8974407222840182,-0.15431935028845695,19.380301737321783
